course, description, section, crn, slot, daysOfWeek, startTime, endTime, location
COMP1002,Laboratory ,056,98305,81,M,1900,2150,CS1009,
COMP1003,Foundations of Computing Sy ,001,92196,5,MWF,1200,1250,SN2109,
COMP1003,Laboratory ,002,94098,64,R,1400,1650,CS1009,
COMP1003,Laboratory ,003,97555,45,F,0900,1150,CS1009,
COMP2001,Obj-Orient Prgm Human Comp ,001,88652,18,TR,1030,1145,EN1054,
COMP2001,Laboratory ,002,98308,61,M,1400,1650,CS1009,
COMP2002,Data Strctrs & Algorithms ,001,88655,3,MWF,1000,1050,EN1054,
COMP2002,Laboratory ,002,98310,63,W,1400,1650,CS1009,
COMP2003,Computer Architecture ,001,88657,4,MWF,1100,1150,EN2040,
COMP2003,Laboratory ,002,98312,62,T,1400,1650,CS1009,
COMP2004,Intro to Operating Systems ,001,88659,20,TR,1530,1645,C2004,
COMP2005,Software Engineering ,001,88683,7,MWF,1400,1450,EN1054,
COMP2006,Computer Networking ,001,88687,0,M,1300,1350,EN2040,
COMP2007,Intro to Inform Management ,001,88694,0,T,1300,1350,EN2040,
COMP2008,Social Issues & Prof Practi ,001,88693,0,R,1300,1350,EN2040,
COMP3100,Web Programming ,001,91270,2,MWF,0900,0950,C2004,
COMP3201,Nature-Inspired Computing ,001,98314,4,MWF,1100,1150,EN1054,
COMP3202,Intro to Machine Learning ,001,90450,20,TR,1530,1645,EN2043,
COMP3300,Interactive Technologies ,001,98316,5,MWF,1200,1250,EN2040,
COMP3401,Intro to Data Mining ,001,99946,3,MWF,1000,1050,EN2007,
COMP3600,Alg. Design & Analysis ,001,98711,17,TR,0900,1015,EN2040,
COMP4301,Computer Vision ,001,90962,3,MWF,1000,1050,EN2040,
COMP4301,Laboratory ,002,98318,91,M,1700,1850,CSF2112,
COMP4302,3D Computer Graphics ,001,99948,16,TR,1200,1250,EN2040,
COMP4303,AI in Computer Games ,001,92202,18,TR,1030,1145,EN2007,
COMP4304,Data Visualization ,001,98322,8,MWF,1500,1550,C2004,
EASC1000,Earth Systems ,001,96607,2,MWF,0900,0950,ER3010B,
EASC1000,Earth Systems ,002,65929,5,MWF,1200,1250,ER3010B,
EASC1000,Laboratory ,003,71335,61,M,1400,1650,ER3006A,
EASC1000,Laboratory ,004,71342,44,R,0900,1150,ER3006A,
EASC1000,Laboratory ,005,96608,64,R,1400,1650,ER3006,
EASC1002,Cncpts/Mthds in Earth Scien ,001,65283,4,MWF,1100,1150,ER3010B,
EASC1002,Laboratory ,002,65940,62,T,1400,1650,ER3006,
EASC1002,Laboratory ,003,96609,63,W,1400,1650,ER3006,
EASC2031,Mineralogy & Petrography ,001,60630,17,TR,0900,1015,ER3007C,
EASC2031,Laboratory ,002,97601,62,T,1400,1650,ER3007B,
EASC2100,Sub GeoSc for Env and Hum C ,001,20585,5,MWF,1200,1250,ER3005B,
EASC2401,Structural Geology ,001,72181,4,MWF,1100,1150,ER3005B,
EASC2401,Laboratory ,002,97602,65,F,1400,1650,ER3005B,
EASC2919,Introduction to Marine Geol ,002,98847,2,MWF,0900,0950,A3017,
EASC3055,Thrmdynmcs/Metamorphic Petr ,001,99931,4,MWF,1100,1150,ER3007C,
EASC3055,Laboratory ,002,99932,65,F,1400,1650,ER3007B,
EASC3170,Geophys for Nat Resource Se ,001,67736,18,TR,1030,1145,ER3005B,
EASC3170,Laboratory ,002,97603,64,R,1400,1650,ER3005B,
EASC3179,Math Mthds for Geophysics ,001,61453,3,MWF,1000,1050,ER3005B,
